POLYID,DRAWORD,POINT_X,POINT_Y
19, 1720, 475966.736125, 4975640.45357
19, 1721, 475954.480711, 4975654.75375
19, 1722, 475943.245765, 4975659.86121
20, 1724, 476013.716845, 4976075.56185
20, 1725, 476017.802125, 4976065.34695
20, 1726, 476015.759485, 4976021.42891
20, 1727, 475973.886216, 4975926.44062
20, 1728, 475914.650082, 4975855.96528
20, 1729, 475845.202875, 4975786.50999
20, 1730, 475757.371057, 4975721.14168
20, 1731, 475677.708948, 4975612.8758
20, 1732, 475646.048454, 4975499.50248
20, 1733, 475627.665545, 4975371.83152
20, 1734, 475572.516393, 4975260.50083
20, 1735, 475543.918582, 4975280.92808
20, 1736, 475463.236429, 4975280.92808
20, 1737, 475409.107746, 4975275.82105
20, 1738, 475396.852332, 4975290.12081
20, 1739, 475372.341503, 4975353.44648
20, 1740, 475366.214008, 4975370.80892
20, 1741, 475363.149197, 4975387.15174
20, 1742, 475357.021277, 4975421.87918
20, 1743, 475362.128728, 4975457.62708
20, 1744, 475370.299288, 4975474.98994
20, 1745, 475391.747008, 4975503.58988
20, 1746, 475419.32052, 4975534.23033
20, 1747, 475434.640746, 4975547.50792
20, 1748, 475478.556655, 4975585.30059
20, 1749, 475517.365113, 4975620.0259
20, 1750, 475584.771807, 4975658.83861
20, 1751, 475660.346508, 4975687.43642
20, 1752, 475707.327228, 4975707.8641
20, 1753, 475738.987723, 4975728.29177
20, 1754, 475823.755155, 4975793.66008
20, 1755, 475892.181893, 4975849.83524
20, 1756, 475919.757533, 4975877.413
20, 1757, 475957.545522, 4975923.37581
20, 1758, 475981.034179, 4975968.31602
20, 1759, 475999.417088, 4976016.32146
20, 1760, 476013.716845, 4976075.56185
21, 1762, 474689.092891, 4975929.5033
21, 1763, 474690.115062, 4975925.41845
21, 1764, 474688.072848, 4975918.26836
21, 1765, 474677.860074, 4975894.778
21, 1766, 474673.774794, 4975893.7554
21, 1767, 474666.624702, 4975895.79804
21, 1768, 474663.562019, 4975899.88332
21, 1769, 474664.582062, 4975906.01294
21, 1770, 474666.624702, 4975915.20567
21, 1771, 474669.689514, 4975924.39798
21, 1772, 474670.709982, 4975930.5259
21, 1773, 474670.709982, 4975938.69603
21, 1774, 474668.667342, 4975948.91094
21, 1775, 474666.624702, 4975962.18852
21, 1776, 474665.604659, 4975981.59403
21, 1777, 474667.647299, 4975992.82897
21, 1778, 474671.732154, 4976003.04388
21, 1779, 474675.817434, 4976010.19397
21, 1780, 474677.860074, 4976016.32146
21, 1781, 474678.880117, 4976026.53424
21, 1782, 474678.880117, 4976033.68433
21, 1783, 474680.922757, 4976040.83442
21, 1784, 474681.944928, 4976045.94187
21, 1785, 474689.092891, 4976054.112
21, 1786, 474694.200342, 4976056.15464
21, 1787, 474700.327837, 4976055.13417
21, 1788, 474707.477928, 4976052.06936
21, 1789, 474711.563208, 4976045.94187
21, 1790, 474711.563208, 4976042.87663
21, 1791, 474711.563208, 4976038.79178
21, 1792, 474710.540611, 4976030.61952
21, 1793, 474709.520568, 4976018.3641
21, 1794, 474691.135531, 4975974.44394
21, 1795, 474689.092891, 4975968.31602
21, 1796, 474689.092891, 4975962.18852
21, 1797, 474689.092891, 4975946.8683
21, 1798, 474689.092891, 4975929.5033
22, 1800, 474663.562019, 4975862.09278
22, 1801, 474665.604659, 4975862.09278
22, 1802, 474667.647299, 4975862.09278
22, 1803, 474671.732154, 4975860.05014
22, 1804, 474673.774794, 4975859.02797
22, 1805, 474676.837477, 4975853.92264
22, 1806, 474681.944928, 4975845.75038
22, 1807, 474688.072848, 4975833.49497
22, 1808, 474695.220386, 4975821.23743
22, 1809, 474698.285622, 4975813.06729
22, 1810, 474699.307794, 4975804.89503
22, 1811, 474703.393074, 4975799.78971
22, 1812, 474708.498397, 4975794.68225
22, 1813, 474715.648062, 4975790.59697
22, 1814, 474736.073611, 4975784.46735
22, 1815, 474745.264215, 4975781.40467
22, 1816, 474747.306855, 4975778.33986
22, 1817, 474753.436477, 4975773.23241
22, 1818, 474756.49916, 4975770.1693
22, 1819, 474756.49916, 4975766.08444
22, 1820, 474755.479117, 4975755.86954
22, 1821, 474755.479117, 4975752.80473
22, 1822, 474757.521757, 4975747.69941
22, 1823, 474760.58444, 4975746.67681
22, 1824, 474763.649251, 4975745.65677
22, 1825, 474771.819386, 4975746.67681
22, 1826, 474777.947306, 4975748.71945
22, 1827, 474783.052629, 4975750.76209
22, 1828, 474788.16008, 4975748.71945
22, 1829, 474791.222764, 4975747.69941
22, 1830, 474804.500349, 4975739.52714
22, 1831, 474812.670909, 4975731.35658
22, 1832, 474812.670909, 4975729.31437
22, 1833, 474811.65044, 4975725.22909
22, 1834, 474807.563458, 4975721.14168
22, 1835, 474785.095269, 4975712.97155
22, 1836, 474768.754575, 4975708.88669
22, 1837, 474756.49916, 4975710.92891
22, 1838, 474753.436477, 4975715.01419
22, 1839, 474748.329026, 4975722.16428
22, 1840, 474744.244171, 4975725.22909
22, 1841, 474739.13672, 4975725.22909
22, 1842, 474728.923946, 4975723.18432
22, 1843, 474717.690702, 4975723.18432
22, 1844, 474701.350434, 4975727.27173
